pkid,method,layers,culled_depth,num_params
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
0,PenaltySolver,5,68,10
