Circuit Name,Qubit Num,Gate Num,method,lay,cx_ideal,cx_constrained,cx_added,depth_ideal,depth_constrained,seed,layout_time_s,transpile_time_s,size
decod24-v2_43,4,52,trivial,True,22,70,48,30,77,42,0.000526,0.006724,100
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,42,0.001787,0.003632,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,42,0.001419,0.002610,52
decod24-v2_43,4,52,dense,True,22,61,39,30,72,42,0.002867,0.003779,91
decod24-v2_43,4,52,trivial,True,22,70,48,30,79,142,0.000431,0.003921,100
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,142,0.001529,0.003445,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,142,0.000826,0.002540,52
decod24-v2_43,4,52,dense,True,22,70,48,30,76,142,0.000763,0.003806,100
decod24-v2_43,4,52,trivial,True,22,61,39,30,68,242,0.000423,0.003909,91
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,242,0.001553,0.002521,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,242,0.000792,0.002538,52
decod24-v2_43,4,52,dense,True,22,49,27,30,53,242,0.000724,0.003628,79
decod24-v2_43,4,52,trivial,True,22,55,33,30,64,342,0.000425,0.003648,85
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,342,0.001584,0.002609,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,342,0.000770,0.002565,52
decod24-v2_43,4,52,dense,True,22,73,51,30,70,342,0.000768,0.003784,103
decod24-v2_43,4,52,trivial,True,22,67,45,30,71,442,0.000424,0.003825,97
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,442,0.001679,0.002514,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,442,0.000777,0.002520,52
decod24-v2_43,4,52,dense,True,22,67,45,30,69,442,0.000717,0.003763,97
decod24-v2_43,4,52,trivial,True,22,61,39,30,72,542,0.000422,0.003895,91
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,542,0.001510,0.002607,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,542,0.000784,0.002844,52
decod24-v2_43,4,52,dense,True,22,58,36,30,59,542,0.000879,0.003971,88
decod24-v2_43,4,52,trivial,True,22,52,30,30,49,642,0.000422,0.003762,82
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,642,0.001585,0.002718,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,642,0.000787,0.002573,52
decod24-v2_43,4,52,dense,True,22,55,33,30,57,642,0.000774,0.003667,85
decod24-v2_43,4,52,trivial,True,22,61,39,30,68,742,0.000436,0.003759,91
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,742,0.001561,0.003483,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,742,0.000796,0.002554,52
decod24-v2_43,4,52,dense,True,22,52,30,30,54,742,0.000764,0.003766,82
decod24-v2_43,4,52,trivial,True,22,58,36,30,54,842,0.000427,0.003798,88
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,842,0.001742,0.002607,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,842,0.000778,0.002586,52
decod24-v2_43,4,52,dense,True,22,70,48,30,77,842,0.000722,0.003780,100
decod24-v2_43,4,52,trivial,True,22,46,24,30,49,942,0.000419,0.003829,76
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,942,0.001756,0.003513,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,942,0.000796,0.002813,52
decod24-v2_43,4,52,dense,True,22,61,39,30,70,942,0.000901,0.003803,91
