pkid,method,layers,culled_depth,num_params
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,132,10
2,PenaltySolver,5,140,10
