method,metric,random_4q,random_5q,random_8q,benchmark_4q,benchmark_5q,benchmark_8q
CCD,gate,1080.5,3592.9,78000.0,236.9,405.0,81000.0
CCD,depth,170.8,465.5,31000.0,169.5,302.3,64000.0
CCD,time_sec,1.5,3.6,111.5,0.9,0.8,158.2
QSD,gate,859.4,3817.2,93000.0,270.5,472.0,89000.0
QSD,depth,120.1,528.1,36000.0,193.5,348.7,76000.0
QSD,time_sec,0.5,2.1,33.0,0.7,0.5,262.5
Squander,gate,298.2,806.3,,44.3,197.2,
Squander,depth,157.9,428.2,,19.1,100.1,
Squander,time_sec,52200.0,1840320.0,,6120.0,340200.0,
QFAST,gate,226.3,887.5,,41.0,181.3,
QFAST,depth,74.1,294.1,,17.0,93.6,
QFAST,time_sec,29519.999999999996,1534320.0,,1341.8,11880.0,
QuCT,gate,206.3,688.1,21000.0,40.6,165.2,3392.2
QuCT,depth,67.4,227.7,13000.0,18.2,91.1,1948.2
QuCT,time_sec,6480.0,33120.0,519840.0,619.9,2043.0,93960.0
